PN,ATA_CHAPTER,SUB_CATEGORY,AIRCRAFT_FAMILY,AIRCRAFT_MODEL,ATOLYE_KABILIYETI,CLP_USD,FMV_USD,YURTICI_TAMIR_MALIYETI_USD,YURTDISI_TAMIR_MALIYETI_USD,FAAL_ADET,GAYRIFAAL_ADET,YURTICI_TAMIRDE_ADET,YURTDISI_TAMIRDE_ADET,ACIK_SATINALMA_ADET,EXCHANGE_IN_ADET,EXCHANGE_OUT_ADET,HOMEBASE_DEPO_ADET,TOPLAM_ENVANTER_ADET
PN-100628,35,OXYGEN,BOEING,737-800,VAR,4470,2470,770.0,1240,2,1,0,0,0,0,0,1,4
PN-100629,30,ICE & RAIN PROTECTION,BOEING,777-F,VAR,5110,2950,2790.0,5110,1,1,1,1,0,0,0,1,5
PN-100630,72,ENGINE,AIRBUS,A321neo,YOK,3650,2080,,940,1,0,0,1,0,0,0,1,3
PN-100631,29,HYDRAULIC POWER,BOEING,777-300ER,YOK,6270,2020,,2310,3,2,0,2,3,1,1,3,15
PN-100632,32,LANDING GEAR,AIRBUS,A320-200,YOK,2420,1350,,750,4,1,0,2,1,1,1,1,11
PN-100633,30,ICE & RAIN PROTECTION,AIRBUS,A319-100,YOK,16050,8460,,12770,2,1,0,0,0,0,0,1,4
PN-100634,25,EQUIPMENT / FURNISHINGS,BOEING,737-800,VAR,2300,620,490.0,620,6,1,0,0,1,0,1,5,14
PN-100635,56,WINDOWS,BOEING,737-900ER,YOK,1720,620,,980,0,0,0,1,0,0,0,0,1
PN-100636,27,FLIGHT CONTROLS,BOEING,737 MAX 8,VAR,170,90,50.0,70,11,6,4,4,3,2,1,1,32
PN-100637,28,FUEL,AIRBUS,A319-100,YOK,4390,2790,,1140,3,0,0,1,1,0,0,2,7
PN-100638,73,ENGINE FUEL AND CONTROL,BOEING,737-900ER,YOK,4460,1090,,890,2,2,0,0,0,2,2,3,11
PN-100639,79,OIL,AIRBUS,A321-200,YOK,24310,7270,,6170,2,1,0,1,0,0,0,1,5
PN-100640,56,WINDOWS,AIRBUS,A321-200,VAR,390,250,180.0,250,1,0,0,0,0,0,0,0,1
PN-100641,77,ENGINE INDICATING,AIRBUS,A320-200,YOK,2540,2080,,1400,3,0,0,0,0,1,0,1,5
PN-100642,76,ENGINE CONTROLS,BOEING,787-9,YOK,16580,11970,,3850,2,2,0,1,0,0,0,3,8
PN-100643,34,NAVIGATION,AIRBUS,A320-200,YOK,350,90,,50,6,1,0,1,0,1,0,3,12
PN-100644,73,ENGINE FUEL AND CONTROL,BOEING,737 MAX 8,VAR,890,390,190.0,270,4,0,1,1,0,0,0,1,7
PN-100645,29,HYDRAULIC POWER,AIRBUS,A350-900,YOK,1870,800,,540,1,0,0,0,0,0,0,0,1
PN-100646,32,LANDING GEAR,BOEING,737-800,VAR,34270,9180,3860.0,7670,2,0,0,0,0,0,0,1,3
PN-100647,35,OXYGEN,BOEING,737-800,YOK,3020,630,,240,12,3,0,3,2,1,0,2,23
PN-100648,79,OIL,BOEING,737 MAX 8,YOK,3080,1070,,830,1,0,0,1,0,0,0,0,2
PN-100649,76,ENGINE CONTROLS,AIRBUS,A320-200,YOK,4420,990,,640,6,3,0,2,1,1,2,6,21
PN-100650,34,NAVIGATION,AIRBUS,A319-100,YOK,4560,2570,,1600,1,1,0,1,0,0,0,0,3
PN-100651,52,DOORS,AIRBUS,A330-300,YOK,5150,4100,,2950,2,0,0,1,0,0,0,1,4
PN-100652,26,FIRE PROTECTION,AIRBUS,A321-200,VAR,880,330,150.0,260,2,0,1,2,0,0,0,1,6
PN-100653,73,ENGINE FUEL AND CONTROL,AIRBUS,A320-200,YOK,4540,1340,,730,1,0,0,1,0,1,0,1,4
PN-100654,36,PNEUMATIC,AIRBUS,A320-200,YOK,11120,3230,,2640,12,0,0,3,1,2,1,3,22
PN-100655,35,OXYGEN,AIRBUS,A321-200,YOK,9020,2900,,3280,2,0,0,1,0,0,0,1,4
PN-100656,72,ENGINE,AIRBUS,A320-200,VAR,150,70,50.0,70,5,3,4,3,0,1,0,2,18
PN-100657,52,DOORS,AIRBUS,A319-100,VAR,1160,320,140.0,220,1,0,0,0,0,1,0,1,3
PN-100658,22,AUTO FLIGHT,BOEING,777-300ER,YOK,6030,1940,,2160,3,1,0,1,0,2,2,2,11
PN-100659,28,FUEL,AIRBUS,A321-200,VAR,4600,1310,170.0,320,10,4,1,2,3,3,1,3,27
PN-100660,25,EQUIPMENT / FURNISHINGS,BOEING,787-9,VAR,15480,5240,1490.0,2640,1,1,1,0,0,0,0,1,4
PN-100661,72,ENGINE,BOEING,787-9,YOK,590,200,,100,27,9,0,9,0,0,2,9,56
PN-100662,21,AIR CONDITIONING,AIRBUS,A320-200,YOK,21170,5950,,5580,1,1,0,0,0,0,0,2,4
PN-100663,26,FIRE PROTECTION,BOEING,737-800,YOK,130,100,,50,2,1,0,1,1,0,0,2,7
PN-100664,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A350-900,VAR,1870,950,190.0,320,4,0,1,1,1,1,1,4,13
PN-100665,71,POWER PLANT,BOEING,737-800,YOK,18570,7340,,5320,1,0,0,0,0,1,0,1,3
PN-100666,35,OXYGEN,AIRBUS,A320-200,YOK,1760,1200,,610,2,1,0,0,0,1,0,0,4
PN-100667,76,ENGINE CONTROLS,AIRBUS,A320-200,YOK,5870,3450,,1650,2,1,0,0,1,0,1,1,6
PN-100668,77,ENGINE INDICATING,AIRBUS,A320-200,VAR,2490,1250,160.0,230,1,1,0,0,0,0,0,1,3
PN-100669,24,ELECTRICAL POWER,AIRBUS,A350-900,YOK,2580,850,,770,6,1,0,2,0,0,1,1,11
PN-100670,79,OIL,BOEING,787-9,YOK,3590,1090,,670,3,1,0,2,0,1,0,1,8
PN-100671,49,AIRBORNE AUXILIARY POWER (APU),BOEING,737-800,YOK,8520,5030,,3220,3,1,0,2,0,0,1,1,8
PN-100672,52,DOORS,BOEING,737-800,YOK,550,100,,70,1,0,0,1,0,1,0,1,4
PN-100673,23,COMMUNICATIONS,BOEING,787-9,YOK,6350,1120,,550,2,0,0,1,1,0,0,1,5
PN-100674,52,DOORS,BOEING,737-800,YOK,1480,480,,130,1,0,0,0,0,1,0,1,3
PN-100675,71,POWER PLANT,AIRBUS,A319-100,VAR,2520,1120,1210.0,1850,4,0,0,0,0,0,1,3,8
PN-100676,49,AIRBORNE AUXILIARY POWER (APU),BOEING,737 MAX 8,YOK,2810,1340,,660,1,1,0,2,1,0,0,0,5
PN-100677,23,COMMUNICATIONS,AIRBUS,A321-200,YOK,1170,580,,620,10,5,0,9,8,7,6,11,56
PN-100678,35,OXYGEN,AIRBUS,A319-100,YOK,880,570,,270,1,0,0,0,0,0,0,0,1
PN-100679,79,OIL,AIRBUS,A330-200,YOK,2890,1750,,840,2,0,0,1,0,0,0,1,4
PN-100680,71,POWER PLANT,BOEING,777-300ER,YOK,4580,2550,,3750,2,1,0,1,0,0,0,1,5
PN-100681,24,ELECTRICAL POWER,AIRBUS,A320neo,YOK,10300,4280,,2880,9,3,0,19,1,1,1,17,51
PN-100682,79,OIL,AIRBUS,A330-200,YOK,2300,1380,,1970,0,0,0,1,0,0,0,1,2
PN-100683,79,OIL,AIRBUS,A320-200,YOK,1110,420,,260,3,1,0,1,1,1,0,3,10
PN-100684,25,EQUIPMENT / FURNISHINGS,AIRBUS,A319-100,YOK,3420,2230,,1110,2,1,0,1,1,0,0,1,6
PN-100685,73,ENGINE FUEL AND CONTROL,AIRBUS,A320-200,YOK,3400,1890,,1230,3,1,0,1,2,1,1,2,11
PN-100686,31,INDICATING / RECORDING SYSTEMS,BOEING,737-800,YOK,19080,3630,,1660,7,2,0,2,0,3,0,4,18
PN-100687,49,AIRBORNE AUXILIARY POWER (APU),BOEING,737 MAX 8,YOK,5100,2390,,1030,9,5,0,0,4,2,0,4,24
PN-100688,32,LANDING GEAR,AIRBUS,A320-200,VAR,4140,1970,590.0,750,2,0,1,1,1,1,0,1,7
PN-100689,73,ENGINE FUEL AND CONTROL,AIRBUS,A321-200,YOK,1350,850,,170,4,0,0,1,1,0,2,2,10
PN-100690,80,STARTING,AIRBUS,A320neo,YOK,5250,2510,,1560,0,0,0,1,0,0,0,0,1
PN-100691,73,ENGINE FUEL AND CONTROL,AIRBUS,A319-100,YOK,12830,4590,,2760,5,2,0,0,0,1,0,1,9
PN-100692,79,OIL,AIRBUS,A330-300,YOK,32020,10570,,9140,1,0,0,1,0,0,0,1,3
PN-100693,79,OIL,BOEING,737-800,VAR,4160,1670,560.0,1170,2,0,0,1,1,0,0,2,6
PN-100694,23,COMMUNICATIONS,BOEING,737-800,VAR,1810,880,130.0,210,1,0,0,0,0,0,0,0,1
PN-100695,27,FLIGHT CONTROLS,AIRBUS,A321-200,YOK,1370,880,,1100,2,0,0,1,2,2,1,3,11
PN-100696,71,POWER PLANT,AIRBUS,A330-300,YOK,83300,31470,,8040,1,0,0,1,0,0,0,0,2
PN-100697,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A320-200,YOK,430,300,,70,4,0,0,2,0,1,0,2,9
PN-100698,22,AUTO FLIGHT,AIRBUS,A320-200,VAR,110,60,50.0,70,1,0,0,0,0,0,0,1,2
PN-100699,23,COMMUNICATIONS,BOEING,777-300ER,YOK,9570,3590,,7590,1,0,0,0,0,0,0,1,2
PN-100700,35,OXYGEN,BOEING,737-900ER,YOK,560,300,,150,3,1,0,2,1,1,1,1,10
PN-100701,52,DOORS,BOEING,777-300ER,YOK,380,110,,190,2,2,0,1,1,0,0,2,8
PN-100702,25,EQUIPMENT / FURNISHINGS,BOEING,777-300ER,YOK,560,220,,210,4,1,0,1,0,1,1,4,12
PN-100703,25,EQUIPMENT / FURNISHINGS,BOEING,737-800,YOK,830,160,,60,5,4,0,5,1,0,0,3,18
PN-100704,24,ELECTRICAL POWER,BOEING,777-300ER,VAR,33380,14850,8680.0,13450,1,1,0,1,0,0,0,1,4
PN-100705,36,PNEUMATIC,AIRBUS,A321neo,VAR,11830,6950,1320.0,2110,7,1,2,3,2,1,1,3,20
PN-100706,21,AIR CONDITIONING,AIRBUS,A319-100,YOK,2530,1450,,1600,1,0,0,1,0,0,0,0,2
PN-100707,36,PNEUMATIC,AIRBUS,A320-200,YOK,100,50,,50,2,1,0,3,1,0,0,3,10
PN-100708,34,NAVIGATION,AIRBUS,A320-200,VAR,1050,390,350.0,600,1,0,0,1,1,0,0,1,4
PN-100709,34,NAVIGATION,AIRBUS,A320-200,YOK,380,140,,60,0,1,0,1,0,0,0,1,3
PN-100710,56,WINDOWS,AIRBUS,A321-200,VAR,1320,650,530.0,930,3,0,0,1,1,0,0,1,6
PN-100711,35,OXYGEN,BOEING,737-800,VAR,5160,3390,3630.0,5160,3,1,0,2,1,1,0,1,9
PN-100712,71,POWER PLANT,BOEING,737-900ER,YOK,780,160,,90,7,1,0,1,2,0,5,1,17
PN-100713,72,ENGINE,AIRBUS,A330-300,YOK,117220,39580,,45260,2,5,0,1,1,1,1,3,14
PN-100714,77,ENGINE INDICATING,AIRBUS,A320-200,YOK,880,540,,440,3,0,0,1,0,0,1,2,7
PN-100715,73,ENGINE FUEL AND CONTROL,BOEING,737-800,VAR,520,270,90.0,120,3,1,1,2,1,3,1,1,13
PN-100716,35,OXYGEN,AIRBUS,A321-200,YOK,6440,3030,,2620,2,1,0,0,0,0,1,1,5
PN-100717,34,NAVIGATION,AIRBUS,A319-100,YOK,690,210,,250,4,1,0,3,0,1,0,2,11
PN-100718,27,FLIGHT CONTROLS,AIRBUS,A321-200,VAR,5320,1210,530.0,1080,3,2,1,1,0,0,0,2,9
PN-100719,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A321-200,YOK,100,50,,60,6,3,0,3,2,2,0,1,17
PN-100720,24,ELECTRICAL POWER,AIRBUS,A320neo,YOK,1880,790,,460,0,1,0,0,0,0,0,1,2
PN-100721,79,OIL,BOEING,737 MAX 8,VAR,4460,790,180.0,250,3,0,1,0,0,0,0,2,6
PN-100722,74,IGNITION,BOEING,737-800,YOK,17050,4120,,2770,1,0,0,0,0,0,0,0,1
PN-100723,24,ELECTRICAL POWER,BOEING,737-800,VAR,3790,2550,300.0,650,4,0,2,0,1,1,1,1,10
PN-100724,73,ENGINE FUEL AND CONTROL,AIRBUS,A320-200,YOK,8350,4270,,5480,17,2,0,6,0,2,1,8,36
PN-100725,24,ELECTRICAL POWER,BOEING,737-900ER,YOK,4240,3270,,3790,1,1,0,1,0,0,1,1,5
PN-100726,71,POWER PLANT,BOEING,737-800,YOK,1110,780,,690,2,0,0,1,2,0,0,3,8
PN-100727,23,COMMUNICATIONS,AIRBUS,A320neo,YOK,3500,2370,,1920,5,0,0,2,0,0,1,2,10
PN-100728,34,NAVIGATION,BOEING,737-800,VAR,2040,970,780.0,1070,1,0,0,0,0,0,0,0,1
PN-100729,56,WINDOWS,AIRBUS,A321neo,VAR,3640,1690,810.0,1500,0,1,1,0,0,0,0,0,2
PN-100730,71,POWER PLANT,AIRBUS,A321neo,YOK,3280,1500,,720,3,1,0,2,1,1,0,2,10
PN-100731,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A320-200,YOK,49320,31790,,13980,1,0,0,0,0,0,0,0,1
PN-100732,77,ENGINE INDICATING,AIRBUS,A330-200,YOK,840,190,,50,1,0,0,0,0,0,0,1,2
PN-100733,73,ENGINE FUEL AND CONTROL,AIRBUS,A320-200,YOK,6840,2540,,2020,11,1,0,1,0,2,5,2,22
PN-100734,26,FIRE PROTECTION,AIRBUS,A320-200,YOK,11880,8210,,6070,3,3,0,1,0,0,1,1,9
PN-100735,56,WINDOWS,AIRBUS,A320-200,YOK,43910,24370,,5680,2,0,0,0,1,0,1,1,5
PN-100736,71,POWER PLANT,BOEING,777-F,VAR,120,70,50.0,70,5,2,0,1,1,0,0,7,16
PN-100737,29,HYDRAULIC POWER,AIRBUS,A321-200,VAR,6200,3200,930.0,1400,2,1,1,1,0,1,1,4,11
PN-100738,72,ENGINE,AIRBUS,A321-200,YOK,1250,480,,420,6,1,0,8,1,0,0,3,19
PN-100739,77,ENGINE INDICATING,AIRBUS,A321-200,YOK,6430,3520,,2200,1,1,0,1,0,0,0,1,4
PN-100740,74,IGNITION,BOEING,777-300ER,VAR,1560,1050,190.0,310,1,0,0,1,0,1,0,2,5
PN-100741,72,ENGINE,AIRBUS,A330-300,YOK,1640,1330,,1640,3,0,0,3,0,0,0,1,7
PN-100742,52,DOORS,BOEING,777-300ER,YOK,3520,1990,,970,7,1,0,0,0,1,1,4,14
PN-100743,28,FUEL,AIRBUS,A321-200,YOK,3040,630,,790,7,3,0,3,1,1,4,7,26
PN-100744,73,ENGINE FUEL AND CONTROL,AIRBUS,A320-200,YOK,4970,2470,,4630,8,2,0,6,4,0,0,8,28
PN-100745,30,ICE & RAIN PROTECTION,AIRBUS,A330-300,VAR,1010,230,60.0,120,2,0,1,0,0,0,0,1,4
PN-100746,35,OXYGEN,AIRBUS,A321-200,YOK,140,50,,70,1,0,0,1,0,0,0,0,2
PN-100747,29,HYDRAULIC POWER,BOEING,737-900ER,YOK,2720,420,,310,9,5,0,4,1,4,0,5,28
PN-100748,29,HYDRAULIC POWER,BOEING,737 MAX 8,YOK,4990,2250,,1100,7,1,0,1,1,2,1,1,14
PN-100749,25,EQUIPMENT / FURNISHINGS,AIRBUS,A321neo,YOK,4880,2530,,2150,2,1,0,1,1,0,0,1,6
PN-100750,79,OIL,BOEING,787-9,YOK,7600,3050,,1510,0,0,0,2,0,1,0,1,4
PN-100751,24,ELECTRICAL POWER,AIRBUS,A330-300,YOK,6410,1100,,700,5,1,0,1,0,2,2,1,12
PN-100752,23,COMMUNICATIONS,AIRBUS,A320neo,YOK,4290,3370,,2030,1,0,0,1,0,0,0,0,2
PN-100753,79,OIL,AIRBUS,A321neo,YOK,440,90,,50,3,1,0,4,2,0,0,2,12
PN-100754,36,PNEUMATIC,AIRBUS,A319-100,VAR,6770,2900,900.0,1590,3,1,2,1,6,0,1,4,18
PN-100755,32,LANDING GEAR,BOEING,737-900ER,VAR,1520,620,130.0,270,18,1,3,2,3,2,0,16,45
PN-100756,72,ENGINE,AIRBUS,A320-200,YOK,1210,560,,450,8,1,0,2,6,3,1,1,22
PN-100757,30,ICE & RAIN PROTECTION,AIRBUS,A321-200,VAR,2130,1220,790.0,1150,1,0,0,0,0,0,0,0,1
PN-100758,24,ELECTRICAL POWER,AIRBUS,A330-300,VAR,100,70,50.0,50,3,0,1,1,1,2,0,2,10
PN-100759,71,POWER PLANT,AIRBUS,A319-100,YOK,3390,620,,640,10,1,0,8,1,5,1,25,51
PN-100760,25,EQUIPMENT / FURNISHINGS,AIRBUS,A320-200,YOK,8420,3340,,2270,1,1,0,0,0,0,0,0,2
PN-100761,36,PNEUMATIC,BOEING,737-800,VAR,2980,1270,1220.0,2210,2,1,0,1,1,0,0,0,5
PN-100762,79,OIL,AIRBUS,A320-200,YOK,4480,2210,,1530,5,1,0,11,0,2,1,4,24
PN-100763,79,OIL,AIRBUS,A321neo,YOK,2020,1150,,2020,6,0,0,2,0,1,1,2,12
PN-100764,30,ICE & RAIN PROTECTION,AIRBUS,A321-200,YOK,3540,980,,960,17,7,0,9,2,3,1,9,48
PN-100765,73,ENGINE FUEL AND CONTROL,AIRBUS,A320neo,YOK,7570,1750,,1200,2,1,0,0,0,0,0,1,4
PN-100766,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A320-200,VAR,7450,2640,680.0,1320,1,0,0,0,0,0,1,1,3
PN-100767,34,NAVIGATION,BOEING,737-900ER,YOK,5140,2970,,1730,7,1,0,4,2,1,2,3,20
PN-100768,24,ELECTRICAL POWER,BOEING,777-F,VAR,2670,630,260.0,400,1,1,0,0,0,0,0,1,3
PN-100769,30,ICE & RAIN PROTECTION,AIRBUS,A320-200,VAR,6430,2360,730.0,1220,2,0,1,0,1,0,0,0,4
PN-100770,52,DOORS,BOEING,777-F,YOK,4440,3140,,2370,1,0,0,0,1,1,0,1,4
PN-100771,80,STARTING,AIRBUS,A330-300,YOK,3700,2800,,970,11,1,0,2,1,0,2,0,17
PN-100772,21,AIR CONDITIONING,BOEING,737-800,YOK,3190,1510,,920,4,1,0,2,2,1,1,2,13
PN-100773,71,POWER PLANT,BOEING,737-800,YOK,4320,2180,,920,6,1,0,1,1,0,0,2,11
PN-100774,76,ENGINE CONTROLS,BOEING,737-800,YOK,1770,150,,50,2,0,0,1,0,0,0,1,4
PN-100775,79,OIL,BOEING,737 MAX 8,YOK,5870,2620,,2880,7,2,0,4,1,1,2,3,20
PN-100776,32,LANDING GEAR,AIRBUS,A321neo,VAR,6380,2460,2440.0,3550,181,5,10,8,5,26,17,48,300
PN-100777,24,ELECTRICAL POWER,AIRBUS,A330-200,YOK,4590,1940,,1990,3,2,0,1,1,1,0,7,15
PN-100778,28,FUEL,AIRBUS,A321-200,YOK,2920,900,,560,3,0,0,2,1,0,0,1,7
PN-100779,76,ENGINE CONTROLS,AIRBUS,A320-200,YOK,14240,4710,,1590,1,0,0,1,0,0,0,0,2
PN-100780,76,ENGINE CONTROLS,BOEING,737-800,YOK,850,510,,740,1,1,0,1,0,0,0,0,3
PN-100781,52,DOORS,AIRBUS,A319-100,YOK,1530,570,,780,2,1,0,0,1,0,0,0,4
PN-100782,24,ELECTRICAL POWER,AIRBUS,A320neo,VAR,5620,1870,2480.0,3960,1,1,1,1,0,0,0,1,5
PN-100783,24,ELECTRICAL POWER,AIRBUS,A320-200,YOK,10720,5570,,4730,3,1,0,1,0,1,0,2,8
PN-100784,34,NAVIGATION,AIRBUS,A320neo,VAR,15610,7520,4210.0,6240,16,1,0,0,3,4,0,9,33
PN-100785,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A350-900,YOK,1540,510,,190,12,1,0,4,2,0,1,5,25
PN-100786,21,AIR CONDITIONING,AIRBUS,A350-900,VAR,170,70,80.0,110,2,1,1,0,0,0,1,1,6
PN-100787,56,WINDOWS,AIRBUS,A321neo,VAR,940,270,50.0,100,0,0,0,0,0,0,0,1,1
PN-100788,36,PNEUMATIC,AIRBUS,A320-200,YOK,2380,900,,250,5,3,0,2,0,1,3,3,17
PN-100789,21,AIR CONDITIONING,AIRBUS,A321neo,VAR,2800,1370,490.0,920,2,1,1,0,0,0,1,2,7
PN-100790,23,COMMUNICATIONS,AIRBUS,A321-200,VAR,46280,19340,2480.0,3670,1,0,0,0,0,0,0,0,1
PN-100791,32,LANDING GEAR,BOEING,737-800,VAR,1440,620,270.0,420,8,3,2,1,1,3,0,2,20
PN-100792,71,POWER PLANT,AIRBUS,A330-300,VAR,1340,460,160.0,210,5,5,1,0,1,1,0,6,19
PN-100793,74,IGNITION,AIRBUS,A330-200,YOK,740,250,,60,1,0,0,0,0,0,0,0,1
PN-100794,32,LANDING GEAR,AIRBUS,A321neo,VAR,890,480,150.0,230,1,1,0,0,1,0,0,2,5
PN-100795,28,FUEL,BOEING,787-9,YOK,2040,1400,,690,4,0,0,0,0,1,0,1,6
PN-100796,80,STARTING,BOEING,737-800,YOK,860,210,,170,3,1,0,3,1,1,1,3,13
PN-100797,32,LANDING GEAR,AIRBUS,A330-200,YOK,9920,5790,,3720,2,1,0,1,0,1,0,1,6
PN-100798,29,HYDRAULIC POWER,AIRBUS,A321neo,VAR,10710,2650,1690.0,2850,1,0,1,0,0,1,0,1,4
PN-100799,32,LANDING GEAR,AIRBUS,A319-100,YOK,2820,1940,,1840,7,1,0,4,3,1,0,4,20
PN-100800,21,AIR CONDITIONING,BOEING,777-F,YOK,12950,5610,,5770,2,0,0,1,0,0,1,1,5
PN-100801,28,FUEL,AIRBUS,A321-200,YOK,23780,10920,,9300,3,1,0,3,0,1,1,2,11
PN-100802,35,OXYGEN,AIRBUS,A320neo,YOK,2190,1310,,910,1,0,0,0,0,0,0,0,1
PN-100803,77,ENGINE INDICATING,BOEING,787-9,YOK,3240,630,,520,1,0,0,0,0,0,0,1,2
PN-100804,72,ENGINE,BOEING,737-800,VAR,30630,14460,10240.0,20180,5,4,1,1,1,1,1,9,23
PN-100805,73,ENGINE FUEL AND CONTROL,AIRBUS,A319-100,YOK,12460,2900,,2370,3,0,0,4,0,0,0,3,10
PN-100806,36,PNEUMATIC,AIRBUS,A320-200,YOK,980,330,,100,6,1,0,3,0,1,0,1,12
PN-100807,23,COMMUNICATIONS,AIRBUS,A319-100,VAR,7040,1650,460.0,740,1,1,0,0,0,0,0,1,3
PN-100808,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A330-300,VAR,2950,580,390.0,610,2,0,0,0,0,0,0,1,3
PN-100809,80,STARTING,AIRBUS,A320-200,VAR,130,70,70.0,90,7,1,2,1,0,5,1,6,23
PN-100810,22,AUTO FLIGHT,BOEING,777-300ER,YOK,320,120,,90,1,0,0,0,0,0,0,0,1
PN-100811,76,ENGINE CONTROLS,BOEING,777-300ER,YOK,7500,1330,,1970,8,1,0,1,1,2,1,4,18
PN-100812,56,WINDOWS,AIRBUS,A330-300,VAR,1210,460,200.0,380,4,2,1,1,1,0,0,3,12
PN-100813,28,FUEL,AIRBUS,A350-900,YOK,390,230,,290,6,0,0,5,1,0,0,2,14
PN-100814,73,ENGINE FUEL AND CONTROL,AIRBUS,A321-200,YOK,560,330,,450,2,0,0,0,1,0,0,1,4
PN-100815,74,IGNITION,AIRBUS,A320-200,YOK,2700,1650,,2070,1,0,0,1,0,0,0,0,2
PN-100816,22,AUTO FLIGHT,BOEING,737-800,YOK,4750,2480,,1410,2,1,0,0,0,0,0,2,5
PN-100817,23,COMMUNICATIONS,AIRBUS,A320-200,VAR,21040,13200,4330.0,7180,1,0,0,1,0,0,0,0,2
PN-100818,56,WINDOWS,AIRBUS,A320-200,VAR,3030,1730,1690.0,2400,1,0,0,1,0,0,0,0,2
PN-100819,80,STARTING,AIRBUS,A321-200,YOK,340,110,,100,5,3,0,1,0,0,1,2,12
PN-100820,21,AIR CONDITIONING,AIRBUS,A319-100,VAR,14090,8560,3140.0,4700,5,1,0,1,2,0,1,3,13
PN-100821,56,WINDOWS,AIRBUS,A321neo,YOK,29270,13780,,5560,0,0,0,1,0,0,0,0,1
PN-100822,24,ELECTRICAL POWER,BOEING,737-800,VAR,15190,4040,1280.0,1860,4,1,5,1,0,0,1,3,15
PN-100823,52,DOORS,BOEING,737-900ER,YOK,2380,1450,,2380,3,0,0,1,1,0,0,2,7
PN-100824,52,DOORS,AIRBUS,A350-900,YOK,19070,14170,,19070,5,1,0,4,1,1,3,2,17
PN-100825,23,COMMUNICATIONS,BOEING,737 MAX 8,YOK,1570,430,,160,2,0,0,1,1,1,1,3,9
PN-100826,56,WINDOWS,AIRBUS,A321neo,YOK,4120,2630,,740,1,1,0,2,3,1,0,2,10
PN-100827,77,ENGINE INDICATING,BOEING,737 MAX 8,YOK,470,220,,90,3,1,0,1,1,0,0,3,9
PN-100828,76,ENGINE CONTROLS,AIRBUS,A330-200,YOK,1820,820,,920,5,1,0,3,1,0,1,3,14
PN-100829,21,AIR CONDITIONING,AIRBUS,A320neo,VAR,660,310,240.0,350,1,1,0,0,0,0,0,0,2
PN-100830,27,FLIGHT CONTROLS,BOEING,777-F,YOK,8630,4190,,1710,3,1,0,2,0,0,0,1,7
PN-100831,27,FLIGHT CONTROLS,AIRBUS,A320neo,YOK,6340,1160,,620,3,1,0,1,1,0,0,1,7
PN-100832,32,LANDING GEAR,AIRBUS,A319-100,YOK,1360,850,,470,5,1,0,1,1,0,0,0,8
PN-100833,24,ELECTRICAL POWER,AIRBUS,A320neo,VAR,900,430,110.0,170,4,2,0,1,0,1,1,3,12
PN-100834,76,ENGINE CONTROLS,AIRBUS,A321-200,VAR,2130,1110,810.0,1170,5,1,0,1,0,0,1,2,10
PN-100835,73,ENGINE FUEL AND CONTROL,AIRBUS,A321-200,VAR,1320,530,160.0,290,6,2,1,0,0,0,1,2,12
PN-100836,74,IGNITION,AIRBUS,A330-200,VAR,16620,4970,1060.0,1440,2,0,1,0,0,0,0,1,4
PN-100837,26,FIRE PROTECTION,BOEING,777-300ER,YOK,7380,1630,,990,0,0,0,1,0,0,0,1,2
PN-100838,21,AIR CONDITIONING,AIRBUS,A321-200,VAR,660,450,140.0,280,12,0,0,1,2,0,1,4,20
PN-100839,77,ENGINE INDICATING,AIRBUS,A330-200,YOK,3300,1710,,1130,3,1,0,1,1,0,0,2,8
PN-100840,28,FUEL,AIRBUS,A321-200,VAR,4240,1110,450.0,630,1,0,0,0,1,0,0,1,3
PN-100841,56,WINDOWS,BOEING,737 MAX 8,YOK,860,550,,120,1,1,0,0,0,0,0,1,3
PN-100842,77,ENGINE INDICATING,AIRBUS,A320-200,VAR,100,50,50.0,50,1,0,0,0,0,0,0,0,1
PN-100843,21,AIR CONDITIONING,AIRBUS,A320-200,VAR,9070,3820,1170.0,1700,3,1,1,0,1,0,0,2,8
PN-100844,21,AIR CONDITIONING,AIRBUS,A330-200,YOK,280,50,,50,2,1,0,1,1,0,1,0,6
PN-100845,21,AIR CONDITIONING,BOEING,737-800,YOK,8170,3900,,810,1,0,0,1,0,0,0,2,4
PN-100846,25,EQUIPMENT / FURNISHINGS,BOEING,737-900ER,VAR,2260,1040,180.0,300,8,1,0,2,1,0,3,3,18
PN-100847,22,AUTO FLIGHT,AIRBUS,A330-300,VAR,410,250,100.0,120,1,0,0,0,0,0,0,1,2
PN-100848,74,IGNITION,BOEING,737-900ER,YOK,6840,3490,,2960,4,0,0,1,1,0,0,2,8
PN-100849,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A321-200,YOK,10900,4680,,3050,21,13,0,2,2,0,10,10,58
PN-100850,80,STARTING,AIRBUS,A319-100,VAR,360,120,70.0,120,8,1,2,2,1,1,1,2,18
